Publication Name,Parent Company,City,State,Type,Audit Source,Report Date,Sun/Sat,Wkdy
Eastsider,C&G Publishing,Warren,MI,WKL,CAC,03/2013-AR,,"30,791"
Echo Abitibien,Quebecor Communications Inc.,Val d'Or,QC,WKL,AAM,09/2013-AR,,"4,515"
ECM-Sun Group LLC,ECM-Sun Group LLC,Eden Prairie,MN,WKL,CAC,09/2012-AR,,"284,859"
Eden Prairie,ECM-Sun Group LLC,Eden Prairie,MN,WKL,CAC,09/2012-AR,,"14,515"
Edgewater View,North Jersey Media Group,Hackensack,NJ,WKL,AAM,12/2013-AR,,"5,684"
Edina,ECM-Sun Group LLC,Eden Prairie,MN,WKL,CAC,09/2012-AR,,"15,613"
Edison Sentinel,Greater Media Newspapers,Manalapan,NJ,WKL,CAC,09/2013-AR,,"23,949"
Edmonton Journal,Postmedia Network Inc.,Edmonton,AB,DLY,AAM,09/2013-AR,"101,710","96,330"
Effingham Daily News,"Community Newspaper Holdings, Inc. (CNHI)",Effingham,IL,CND,AAM,06/2012-AR,,"10,134"
El Diario La Prensa,Impremedia LLC,New York,NY,DLY,AAM,09/2013-AR,"22,703","34,658"
El Dorado News-Times,WEHCO Media Inc. Newspaper,El Dorado,AR,DLY,AAM,03/2012-AR,"13,632","9,231"
El Especialito,"USA Distributors, Inc.",Union City,NJ,WKL,CAC,06/2013-AR,,"257,936"
El Especialito - Bergen,"USA Distributors, Inc.",Union City,NJ,WKL,CAC,06/2013-AR,,"13,343"
El Especialito - Bronx,"USA Distributors, Inc.",Union City,NJ,WKL,CAC,06/2013-AR,,"24,734"
El Especialito - Brooklyn,"USA Distributors, Inc.",Union City,NJ,WKL,CAC,06/2013-AR,,"24,742"
El Especialito - El Barrio,"USA Distributors, Inc.",Union City,NJ,WKL,CAC,06/2013-AR,,"20,730"
El Especialito - Hudson,"USA Distributors, Inc.",Union City,NJ,WKL,CAC,06/2013-AR,,"24,678"
El Especialito - Jackson Heights,"USA Distributors, Inc.",Union City,NJ,WKL,CAC,06/2013-AR,,"24,726"
El Especialito - Lower East Side,"USA Distributors, Inc.",Union City,NJ,WKL,CAC,06/2013-AR,,"14,829"
El Especialito - Middlesex,"USA Distributors, Inc.",Union City,NJ,WKL,CAC,06/2013-AR,,"13,318"
El Especialito - Newark,"USA Distributors, Inc.",Union City,NJ,WKL,CAC,06/2013-AR,,"19,757"
El Especialito - Passaic,"USA Distributors, Inc.",Union City,NJ,WKL,CAC,06/2013-AR,,"22,728"
El Especialito - Union,"USA Distributors, Inc.",Union City,NJ,WKL,CAC,06/2013-AR,,"14,801"
El Especialito - Washington Heights,"USA Distributors, Inc.",Union City,NJ,WKL,CAC,06/2013-AR,,"24,727"
El Especialito - West Side,"USA Distributors, Inc.",Union City,NJ,WKL,CAC,06/2013-AR,,"14,823"
El Heraldo News,El Heraldo News,Dallas,TX,WKL,CAC,09/2013-AR,,"17,827"
El Hispano News,El Hispano News,Dallas,TX,WKL,CAC,12/2013-AR,,"20,010"
El Mensajero,"El Mensajero Newspaper, LLC",San Francisco,CA,WKL,CAC,06/2013-AR,"103,656",
El Norte,El Nuevo Dia,Guaynabo,PR,WKL,CAC,12/2012-AR,,"28,690"
El Nuevo Dia,El Dia Inc.,San Juan,PR,DLY,AAM,12/2013-AR,"200,598","186,912"
El Nuevo Herald,McClatchy Company,Miami,FL,DLY,AAM,06/2013-AR,"67,192","54,574"
El Nuevo Periodico de Caguas,"El Periodico, Inc.",Caguas,PR,WKL,CAC,12/2013-AR,,"79,985"
El Paso Times,"MediaNews Group, Inc.",El Paso,TX,DLY,AAM,09/2013-AR,"81,734","68,852"
El Paso Times-El Paso Y Mas,"MediaNews Group, Inc.",El Paso,TX,BE,AAM,09/2013-AR,"48,340",
El Periodico USA,Spanish Print Media,McAllen,TX,WKL,CAC,09/2012-AR,,"49,752"
El Pregonero,Carroll Publishing Co.,Silver Spring,MD,WKL,CAC,06/2013-AR,,"24,804"
El Tiempo,Stephens Media Group,Las Vegas,NV,WKL,CAC,09/2013-AR,,"49,668"
El Todo,Todo Bayamon Inc.,Bayamon,PR,WKL,CAC,12/2013-AR,,"74,000"
El Vocero de Puerto Rico,El Vocero de Puerto Rico,San Juan,PR,DLY,CAC,03/2014-AR,,"216,723"
Elk River Star News,ECM Publishers Inc.,Elk River,MN,WKL,CAC,12/2012-AR,"20,571",
Elkhart Truth,"Truth Publishing, Inc.",Elkhart,IN,CND,AAM,09/2012-AR,"22,983","20,487"
Elko Daily Free Press,"Lee Publications, Inc.",Elko,NV,DLY,CAC,12/2012-AR,"6,052","5,462"
Elmhurst Press,Shaw Media,Burr Ridge,IL,WKL,CAC,03/2013-AR,,"10,396"
Emporia Gazette,Emporia Gazette,Emporia,KS,CND,AAM,06/2012-AR,,"5,827"
Enid News And Eagle,"Community Newspaper Holdings, Inc. (CNHI)",Enid,OK,CND,AAM,06/2012-AR,"15,030","14,709"
Enquirer Gazette,Southern Maryland Newspapers,Waldorf,MD,WKL,CAC,09/2013-AR,,"2,416"
Enterprise Sunday Enterprise,GateHouse Media,Brockton,MA,DLY,AAM,12/2012-AR,"26,187","21,800"
Enterprise Record,"MediaNews Group, Inc.",Chico,CA,DLY,AAM,09/2013-AR,"28,495","24,612"
Enterprise Record-Oroville Mercury Register,"MediaNews Group, Inc.",Chico,CA,BE,AAM,09/2013-AR,"3,269","3,575"
Enterprise Record-Paradise Post,"MediaNews Group, Inc.",Chico,CA,BE,AAM,09/2013-AR,"3,935","3,083"
Enterprise Sunday Enterprise-Easton Journal,GateHouse Media,Brockton,MA,BE,AAM,12/2012-AR,,
Enterprise-Journal,Enterprise Journal,Mc Comb,MS,CND,AAM,06/2013-AR,"8,837","8,441"
Enterprise Sunday Enterprise-Mansfield News,GateHouse Media,Brockton,MA,BE,AAM,12/2012-AR,,
Enterprise Sunday Enterprise-Stoughton Journal,GateHouse Media,Brockton,MA,BE,AAM,12/2012-AR,,
Enumclaw Courier Herald,Sound Publishing,Enumclaw,WA,WKL,CAC,03/2012-AR,,"11,643"
Erie Times-News,Times Publishing Company,Erie,PA,DLY,AAM,09/2013-AR,"64,590","45,322"
Erie Times-News-Gocrawfordcounty.Com,Times Publishing Company,Erie,PA,BE,AAM,09/2013-AR,,"4,000"
Estevan Mercury,Glacier Ventures International Corp.,Estevan,SK,CNW,AAM,03/2012-AR,,"3,054"
Evansville Courier & Press,E.W. Scripps Co.,Evansville,IN,DLY,AAM,12/2013-AR,"61,661","44,877"
Evening Sun,"MediaNews Group, Inc.",Hanover,PA,CND,AAM,06/2012-AR,"21,092","18,204"
Examiner,Greater Media Newspapers,Manalapan,NJ,WKL,CAC,09/2013-AR,,"7,449"
Examiner-Enterprise,Stephens Media LLC,Bartlesville,OK,DLY,CAC,03/2010-AR,"11,164","9,618"
Excelsior/Shorewood,ECM-Sun Group LLC,Eden Prairie,MN,WKL,CAC,09/2012-AR,,"6,024"
Exponent Telegram,Clarksburg Publishing Company,Clarksburg,WV,CND,AAM,03/2013-AR,"18,290","13,888"
Express,"Ogden Newspapers, Inc.",Lock Haven,PA,CND,AAM,12/2013-AR,"8,537","7,905"
Express,Washington Post,Washington,DC,DLY,CAC,09/2013-AR,,"183,121"
Express Times,Penn Jersey Advance,Easton,PA,DLY,AAM,03/2013-AR,"48,762","39,765"
Express Times-Sunday Democrat,Penn Jersey Advance,Easton,PA,BE,AAM,Click Qtrly,,
Fairbanks Daily News-Miner,"Fairbanks Publishing Co., Inc.",Fairbanks,AK,CND,AAM,06/2012-AR,"15,938","13,245"
Fairfield Minuteman,21st Century Media,Westport,CT,WKL,CAC,12/2011-AR,,"20,959"
Fairport-East Rochester Post,Messenger Post Newspapers,Canandaigua,NY,WKL,CAC,06/2012-AR,,"8,389"
Falmouth Enterprise,Falmouth Publishing Co.,Falmouth,MA,CNW,AAM,03/2014-AR,,"6,783"
Faribault Area Shopper,Southern Minnesota Media,Faribault,MN,WKL,CAC,12/2013-AR,"7,285",
Faribault Daily News,Southern Minnesota Media,Faribault,MN,DLY,CAC,12/2013-AR,"5,147","4,878"
Faribault Daily News and Area Shopper,Southern Minnesota Media,Faribault,MN,DLY,CAC,12/2013-AR,,"24,533"
Farm Forum,Aberdeen News Company,Aberdeen,SD,WKL,CAC,06/2013-AR,,"32,730"
Farmington,C&G Publishing,Warren,MI,WKL,CAC,03/2013-AR,,"38,130"
Farmington Observer,Gannett Newspapers,Livonia,MI,WKL,CAC,03/2012-AR,"10,660","10,568"
"Farmside (Huntley, Marengo, Union)",Shaw Media,Burr Ridge,IL,WKL,CAC,03/2013-AR,,137
The Fauquier Times,Virginia News Group,Warrenton,VA,WKL,CAC,09/2013-AR,,"10,417"
"Fayette Publishing, Inc.","Fayette Publishing, Inc.",Fayetteville,GA,WKL,CAC,09/2012-AR,,"44,168"
Fayetteville Observer,Fayetteville Publishing Company,Fayetteville,NC,DLY,AAM,12/2013-AR,"56,376","45,263"
Federal Way Mirror,Sound Publishing,Federal Way,WA,WKL,CAC,03/2012-AR,,"29,667"
Finger Lakes Times,Finger Lakes Times,Geneva,NY,DLY,CAC,09/2012-AR,"15,771","12,837"
Flint Journal,"Advance Publications, Inc.",Flint,MI,DLY,AAM,12/2013-AR,"56,444","44,887"
Florida Sun,Florida Sun,Orlando,FL,WKL,CAC,12/2013-AR,,"7,529"
Florida Times-Union,Morris Publishing Group,Jacksonville,FL,DLY,AAM,06/2013-AR,"135,972","90,255"
Florida Today,Gannett Company Inc.,Melbourne,FL,DLY,AAM,03/2013-AR,"78,163","53,468"
Florida Today-Your Essential Shopper,Gannett Company Inc.,Melbourne,FL,BE,AAM,03/2013-AR,"9,655",
Florida Weekly,Florida Weekly,Fort Myers,FL,WKL,CAC,03/2013-AR,,"66,178"
Flushing Times,Community Newspaper Group,Brooklyn,NY,WKL,CAC,12/2013-AR,,"1,323"
Forest Lake Times,ECM Publishers Inc.,Forest Lake,MN,WKL,CAC,12/2012-AR,,"13,290"
Forks Forum,Sound Publishing,Forks,WA,WKL,CAC,03/2012-AR,,"4,740"
Fort Collins Coloradoan,Gannett Company Inc.,Fort Collins,CO,CND,AAM,09/2012-AR,"25,738","20,271"
Fort Frances Times,Fort Frances Times Limited,Fort Frances,ON,CNW,AAM,03/2014-AR,,"3,950"
Fort Lee Suburbanite,North Jersey Media Group,Hackensack,NJ,WKL,AAM,12/2013-AR,,"15,162"
Fort Mcmurray Today,Sun Media Corporation,Fort McMurray,AB,DLY,AAM,09/2013-AR,,"2,227"
Fort Myers Florida Weekly,Florida Weekly,Fort Myers,FL,WKL,CAC,03/2013-AR,,"22,963"
Fort Worth Star-Telegram,McClatchy Company,Fort Worth,TX,DLY,AAM,03/2013-AR,"288,429","186,625"
Fort Worth Star-Telegram-Arlington Citizen-Journal,McClatchy Company,Fort Worth,TX,BE,AAM,03/2013-AR,,"88,276"
Fort Worth Star-Telegram-La Estrella En Casa,McClatchy Company,Fort Worth,TX,BE,AAM,03/2013-AR,"116,403","116,403"
Fort Worth Star-Telegram-Mansfield News-Mirror,McClatchy Company,Fort Worth,TX,BE,AAM,03/2013-AR,,"30,638"
Fort Worth Star-Telegram-The Colleyville Courier,McClatchy Company,Fort Worth,TX,BE,AAM,03/2013-AR,,"8,227"
Fort Worth Star-Telegram-The Grapevine Courier,McClatchy Company,Fort Worth,TX,BE,AAM,03/2013-AR,,"12,576"
Fort Worth Star-Telegram-The Keller Citizen,McClatchy Company,Fort Worth,TX,BE,AAM,03/2013-AR,,"43,683"
Fort Worth Star-Telegram-The Southlake Journal,McClatchy Company,Fort Worth,TX,BE,AAM,03/2013-AR,,"8,389"
Fort Worth Star-Telegram-The Times Register,McClatchy Company,Fort Worth,TX,BE,AAM,03/2013-AR,,"19,260"
Fort Worth Star-Telegram-Weatherford Telegram,McClatchy Company,Fort Worth,TX,BE,AAM,03/2013-AR,,"32,763"
Fort Worth Star-Telegram-Yes! Your Essential Shopper,McClatchy Company,Fort Worth,TX,BE,AAM,03/2013-AR,"79,826",
Forum,Forum Communications Company,Fargo-Moorhead,ND,DLY,AAM,03/2014-AR,"45,238","41,510"
Forward,"Forward Association, Inc.",New York,NY,WKL,AAM,09/2012-AR,,"27,222"
Foster's Daily Democrat,"George J. Foster & Company, Inc.",Dover,NH,DLY,CAC,06/2012-AR,"14,308","13,329"
Framington Tab,GateHouse Media,Needham,MA,WKL,AAM,03/2014-AR,,"6,106"
Fraser-Clinton Chronicle,C&G Publishing,Warren,MI,WKL,CAC,03/2013-AR,,"30,726"
Fraser-Roseville-St Clair Shores,21st Century Media,Shelby,MI,WKL,CAC,09/2013-AR,"11,769",
Frederick News-Post,"Randall Family, LLC.",Frederick,MD,DLY,AAM,09/2013-AR,"32,005","30,233"
Free Lance Star Group,The Free Lance-Star Publishing Company,Fredericksburg,VA,WKL,AAM,See Reports,,
Free Lance-Star,The Free Lance-Star Publishing Company,Fredericksburg,VA,DLY,AAM,09/2013-AR,"42,250","39,272"
Fremont Tribune,"Lee Enterprises, Incorporated",Fremont,NE,CND,AAM,03/2014-AR,"6,807","6,695"
Fresno Bee,McClatchy Company,Fresno,CA,DLY,AAM,12/2013-AR,"124,737","85,415"
Fresno Bee-Vida En El Valle,McClatchy Company,Fresno,CA,BE,AAM,12/2013-AR,,"46,564"
Fresno Bee-Yes! Your Essential Shopper,McClatchy Company,Fresno,CA,BE,AAM,12/2013-AR,"25,071",
Frontiersman,Wick Communications Co.,Wasilla,AK,CNW,AAM,06/2013-AR,"3,239","3,290"
Ft. Wayne News-Sentinel,"Ogden Newspapers, Inc.",Ft. Wayne,IN,DLY,AAM,12/2013-AR,"14,298","14,089"
Gadsden Times,Halifax Media Holdings LLC,Gadsden,AL,CND,AAM,03/2014-AR,"15,347","14,073"
Gainesville Sun,Halifax Media Holdings LLC,Gainesville,FL,DLY,AAM,03/2012-AR,"41,136","31,022"
Gainesville/Prince William Times,Virginia News Group,Warrenton,VA,WKL,CAC,09/2013-AR,,"20,438"
Garden City Observer,Gannett Newspapers,Livonia,MI,WKL,CAC,03/2012-AR,"3,319","3,142"
Garden Island,Oahu Publications Inc.,Lihue,HI,CND,AAM,03/2012-AR,"8,864","10,116"
Garden Island-The Island Shopper,Oahu Publications Inc.,Lihue,HI,BE,AAM,03/2012-AR,,
Gardner News,Gardner News Inc.,Gardner,MA,CND,AAM,06/2012-AR,,"4,906"
Garner-Cleveland Record,A Div. of the News and Observer Pub. Co.,Smithfield,NC,WKL,CAC,03/2012-AR,"42,889","46,731"
Gaston Gazette,Halifax Media Holdings LLC,Gastonia,NC,DLY,AAM,12/2013-AR,"23,044","21,979"
Gatehouse Media/Comm. News.Co-Northwest,GateHouse Media,Needham,MA,WKL,AAM,03/2013-AR,,"39,341"
Gatehouse Media/Community News Co.-Metro,GateHouse Media,Needham,MA,WKL,AAM,03/2013-AR,,"14,602"
Gatehouse Media/Community News. Co-North,GateHouse Media,Needham,MA,WKL,AAM,03/2013-AR,,"29,923"
Gatehouse Media/Community News. Co-South,GateHouse Media,Needham,MA,WKL,AAM,03/2013-AR,,"42,500"
Gatehouse Media/Community News. Co-West,GateHouse Media,Needham,MA,WKL,AAM,03/2013-AR,,"10,559"
Gatehouse Media/Herald Media/Community Newspaper Co,GateHouse Media,Needham,MA,WKL,AAM,03/2013-AR,,"136,925"
Gates-Chili Post,Messenger Post Newspapers,Canandaigua,NY,WKL,CAC,06/2012-AR,,"8,494"
Gazette,The Gazette Company,Cedar Rapids-Marion,IA,DLY,AAM,06/2012-AR,"59,986","46,251"
Gazette,"Medina County Publications, Inc.",Medina,OH,CND,AAM,03/2013-AR,,"11,982"
Gazette,Clarity Media Group,Colorado Springs,CO,DLY,AAM,09/2013-AR,"75,960","66,272"
Gazette,Postmedia Network Inc.,Montreal,QC,DLY,AAM,03/2013-AR,"117,833","104,170"
Gazette of Lower Twp./Cape May,Catamaran Media,Egg Harbor Twp,NJ,WKL,CAC,09/2013-AR,,"4,202"
Gazette of Middle Twp./Cape May County,Catamaran Media,Egg Harbor Twp,NJ,WKL,CAC,09/2013-AR,,"9,339"
Gazette of Ocean City,Catamaran Media,Egg Harbor Twp,NJ,WKL,CAC,09/2013-AR,,"6,668"
Gazette of Upper Township,Catamaran Media,Egg Harbor Twp,NJ,WKL,CAC,09/2013-AR,,"6,345"
Gazette-Democrat,Gazette Democrat,Anna,IL,WKL,AAM,09/2012-AR,,"3,220"
Gazette-Sunday Preferred,Clarity Media Group,Colorado Springs,CO,BE,AAM,09/2013-AR,"23,585",
Georgetown Record,GateHouse Media,Georgetown,MA,WKL,AAM,03/2013-AR,,"1,089"
Gilbert Independent,Independent Newsmedia Inc USA,Apache Junction,AZ,WKL,CAC,12/2012-AR,,
Glasgow Daily Times,"Community Newspaper Holdings, Inc. (CNHI)",Glasgow,KY,CND,AAM,12/2013-AR,"6,931","5,588"
Gleaner,E.W. Scripps Co.,Henderson,KY,CND,AAM,12/2013-AR,"9,826","8,685"
Gleaner,Quebecor Media,Huntingdon,QC,CNW,AAM,03/2013-AR,,"2,654"
Glen Ellyn News,Shaw Media,Burr Ridge,IL,WKL,CAC,03/2013-AR,,"9,226"
Glenside News,Journal Register Publishing Company,Ft. Washington,PA,WKL,CAC,06/2013-AR,,"1,177"
Globe And Mail,The Globe and Mail Inc.,Toronto,ON,DLY,AAM,09/2013-AR,"406,893","346,493"
"Globe-Gazette, Sunday Globe","Lee Enterprises, Incorporated",Mason City,IA,CND,AAM,09/2013-AR,"17,420","13,393"
Gloucester Daily Times,"Community Newspaper Holdings, Inc. (CNHI)",Gloucester,MA,CND,AAM,12/2012-AR,,"7,606"
Goldsboro News-Argus,Wayne Printing Company,Goldsboro,NC,CND,AAM,12/2012-AR,"17,620","15,713"
Goldstream News Gazette,"Black Press Group, Ltd.",Victoria,BC,WKL,AAM,03/2014-AR,,"17,695"
Goochland Gazette,"Richmond Suburban Newspapers, Inc.",Mechanicsville,VA,WKL,CAC,06/2013-AR,,"8,240"
Grand Island Independent,Grand Island Independent,Grand Island,NE,DLY,CAC,12/2012-AR,"18,888","17,698"
Grand Rapids Press,"Advance Publications, Inc.",Grand Rapids,MI,DLY,AAM,12/2013-AR,"134,486","96,518"
Grants Pass Daily Courier,Daily Courier,Grants Pass,OR,CND,AAM,12/2013-AR,"13,095","12,115"
Great Falls Tribune,Gannett Company Inc.,Great Falls,MT,DLY,AAM,09/2012-AR,"29,049","26,361"
Greater Detroit ADS,21st Century Media,Pontiac,MI,WKL,CAC,03/2013-AR,"192,657",
Greater Media Newspapers,Greater Media Newspapers,Manalapan,NJ,WKL,CAC,09/2013-AR,,"245,022"
Greater Philadelphia Newspapers,Calkins Media,Levittown,PA,DLY,AAM,06/2012-AR,"121,698",
Greece Post,Messenger Post Newspapers,Canandaigua,NY,WKL,CAC,06/2012-AR,,"18,810"
Green Bay Press-Gazette,Gannett Company Inc.,Green Bay,WI,DLY,AAM,03/2012-AR,"67,067","41,835"
Green Sheet Classifieds & More,Gannett Company Inc.,Howell,MI,WKL,AAM,09/2013-AR,"57,170",
Greenville News,Gannett Company Inc.,Greenville,SC,DLY,AAM,09/2013-AR,"71,593","49,067"
Greenville News-Yes! Your Essential Shopper,Gannett Company Inc.,Greenville,SC,BE,AAM,09/2013-AR,"21,486",
"Greenwich Time, The Sunday Greenwich Time",Hearst Newspapers,Greenwich,CT,DLY,AAM,09/2013-AR,"10,656","8,012"
Greenwood Commonwealth,"Commonwealth Publishing, Inc.",Greenwood,MS,CND,AAM,03/2013-AR,"6,416","6,097"
Grosse Pointe Times,C&G Publishing,Warren,MI,WKL,CAC,03/2013-AR,,"18,787"
Hackensack Chronicle,North Jersey Media Group,Hackensack,NJ,WKL,AAM,12/2013-AR,,"17,570"
Hackensack Group,North Jersey Media Group,Hackensack,NJ,WKL,AAM,See Reports,,
Hamilton Journalnews Shoppers' Extra,"Cox Media Group Ohio, Inc.",Liberty Township,OH,WKL,AAM,03/2013-AR,"35,059",
Hamilton Wenham Chronicle,GateHouse Media,Hamilton,MA,WKL,AAM,03/2013-AR,,"1,482"
Hamilton-Robbinsville Observer,"The Princeton Packet, Inc.",Princeton,NJ,WKL,CAC,06/2012-AR,,"9,283"
Hanford Sentinel,"Lee Enterprises, Incorporated",Hanford,CA,DLY,AAM,03/2012-AR,"8,852","9,065"
Hanford Sentinel-The Kingsburg Recorder,"Lee Enterprises, Incorporated",Hanford,CA,BE,AAM,03/2012-AR,,"1,919"
Hanford Sentinel-The Selma Enterprise,"Lee Enterprises, Incorporated",Hanford,CA,BE,AAM,03/2012-AR,,"2,607"
Hanover Mariner,GateHouse Media,Hanover,MA,WKL,AAM,03/2013-AR,,"1,520"
Harrodsburg Herald,"Harrodsburg Herald, Inc.",Harrodsburg,KY,WKL,AAM,03/2012-AR,,"4,486"
Hartford Courant,Tribune Publishing Company,Hartford,CT,DLY,AAM,03/2013-AR,"189,732","129,903"
Harvard Post,GateHouse Media,Harvard,MA,WKL,AAM,03/2013-AR,,211
Harwich Oracle,GateHouse Media,Harwich,MA,WKL,AAM,03/2013-AR,,"1,114"
Hastings Tribune,Seaton Publishing,Hastings,NE,DLY,CAC,03/2013-AR,,"9,432"
Hattiesburg American,Gannett Company Inc.,Hattiesburg,MS,CND,AAM,12/2012-AR,"14,813","11,102"
Hawaii Tribune-Herald,Stephens Media Group,Hilo,HI,DLY,CAC,03/2012-AR,"19,362","16,900"
Henrietta Post,Messenger Post Newspapers,Canandaigua,NY,WKL,CAC,06/2012-AR,,"4,410"
Henry Neighbor,"Neighbor Newspapers, Inc.",Marietta,GA,WKL,CAC,12/2012-AR,,"15,600"
Herald,"Community Newspaper Holdings, Inc. (CNHI)",Sharon-Farrell-Sharpsville-Hermitage,PA,CND,AAM,12/2013-AR,"16,665","15,862"
Herald,McClatchy Company,Rock Hill,SC,DLY,AAM,12/2012-AR,"24,608","20,291"
Herald & Review,"Lee Enterprises, Incorporated",Decatur,IL,DLY,AAM,09/2013-AR,"40,694","26,783"
Herald and News,Klamath Publishing,Klamath Falls,OR,DLY,CAC,09/2012-AR,"15,083","14,206"
Herald Democrat,Stephens Media Group,Sherman,TX,DLY,CAC,03/2012-AR,"20,660","19,885"
The Herald Journal,Cache Valley Publishing,Logan,UT,DLY,CAC,03/2012-AR,"16,439","15,126"
Herald News,Shaw Media,Joliet,IL,CND,AAM,03/2010-AR,"37,725","34,485"
Herald News,GateHouse Media,Fall River,MA,CND,AAM,12/2012-AR,"15,375","14,785"
"Herald Star, OH/Weirton Daily Times, WV","Nutting Newspapers, Inc.",Steubenville,OH,CND,AAM,12/2012-AR,"17,656","10,890"
Herald Times Reporter,Gannett Company Inc.,Manitowoc-Two Rivers,WI,CND,AAM,03/2014-AR,"11,450","9,435"
"Herald, Herald Press","Central Connecticut Communications, LLC",New Britain,CT,CND,AAM,03/2013-AR,"9,254","5,338"
Herald-Argus,Paxton Media Group Inc.,La Porte,IN,CND,AAM,09/2013-AR,,"6,658"
Herald-Dispatch,"HD Media, LLC",Huntington,WV,DLY,AAM,12/2012-AR,"29,049","26,748"
Herald-Dispatch-Putnam Herald,"HD Media, LLC",Huntington,WV,BE,AAM,12/2012-AR,,
Herald-Journal,Halifax Media Holdings LLC,Spartanburg,SC,DLY,AAM,12/2012-AR,"41,042","31,636"
Herald-Mail,"Schurz Communications, Inc.",Hagerstown,MD,DLY,AAM,09/2012-AR,"31,395","25,675"
Herald-Palladium,Herald Palladium,Benton Harbor & St. Joseph,MI,CND,AAM,03/2013-AR,"17,026","13,909"
Herald-Standard,"Uniontown Newspapers, Inc.",Uniontown,PA,CND,AAM,06/2013-AR,"21,983","20,759"
Herald-Star,"Nutting Newspapers, Inc.",Steubenville,OH,CND,AAM,12/2012-AR,"13,112","10,890"
"Heritage Newspapers, Inc.","Heritage Newspapers, Inc.",Southgate,MI,WKL,CAC,See Reports,,
Hersam Acorn Newspapers,Hersam Acorn Newspapers,Shelton,CT,WKL,CAC,03/2013-AR,,"24,516"
Hickory Daily Record,BH Media Group,Hickory,NC,DLY,CAC,12/2012-AR,"21,383","19,488"
Hillsborough Beacon,"The Princeton Packet, Inc.",Princeton,NJ,WKL,CAC,06/2012-AR,,"6,875"
Hingham Journal,GateHouse Media,Hingham,MA,WKL,AAM,03/2013-AR,,"4,349"
Hobbs News-Sun,Hobbs News-Sun,Hobbs,NM,CND,AAM,12/2012-AR,"8,000","8,669"
Holbrook Sun,GateHouse Media,Holbrook,MA,WKL,AAM,03/2013-AR,,841
Holland Sentinel,GateHouse Media,Holland,MI,CND,AAM,09/2013-AR,"17,260","14,110"
Home News Tribune,Gannett Company Inc.,East Brunswick,NJ,DLY,AAM,09/2012-AR,"38,112","30,507"
Hometown Shopper,Newsday Media Group,Melville,NY,DLY,CAC,09/2013-AR,,"987,517"
Ukrainain Echo,"Homin Ukrainy (Ukrainian Echo) Publishing Co., Ltd.",Toronto,ON,CNW,AAM,03/2013-AR,,"1,185"
Honolulu Star-Advertiser,"Oahu Publications, Inc.",Honolulu,HI,DLY,AAM,12/2013-AR,"206,283","200,682"
Honolulu Star-Advertiser-Big Island Tv Week,"Oahu Publications, Inc.",Honolulu,HI,BE,AAM,Click Qtrly,,
Honolulu Star-Advertiser-Midweek,"Oahu Publications, Inc.",Honolulu,HI,BE,AAM,12/2013-AR,,"298,364"
Honolulu Star-Advertiser-Street Pulse,"Oahu Publications, Inc.",Honolulu,HI,BE,AAM,12/2013-AR,,"47,149"
Honolulu Star-Advertiser-Tgif,"Oahu Publications, Inc.",Honolulu,HI,BE,AAM,Click Qtrly,,
Honolulu Star-Advertiser-Usat - Hawaii Edition,"Oahu Publications, Inc.",Honolulu,HI,BE,AAM,12/2013-AR,,"7,788"
Hopewell Valley News,"The Princeton Packet, Inc.",Princeton,NJ,WKL,CAC,06/2012-AR,,"4,288"
Hopkinton Crier,GateHouse Media,Hopkinton,MA,WKL,AAM,03/2013-AR,,622
Hot Sheet (TMC),Swift Publications,Carson City,NV,WKL,CAC,12/2013-AR,,"25,842"
Hour Sunday Hour,The Hour Publishing Co.,Norwalk,CT,CND,AAM,12/2013-AR,"23,909","13,821"
Houston Chronicle,Hearst Newspapers,Houston,TX,DLY,AAM,09/2012-AR,"1,087,980","335,975"
Houston Chronicle-La Voz De Houston,Hearst Newspapers,Houston,TX,BE,AAM,09/2012-AR,"82,992",
Houston Chronicle-The Good Life,Hearst Newspapers,Houston,TX,BE,AAM,09/2012-AR,"307,834",
Houston Chronicle-Ultimate,Hearst Newspapers,Houston,TX,BE,AAM,09/2012-AR,"192,783",
Houston Defender,"Houston Defender, Inc.",Houston,TX,WKL,CAC,06/2013-AR,,"21,399"
Howard County Times,Patuxent Publishing Company,Baltimore,MD,WKL,CAC,09/2013-AR,,"16,156"
Hoy Fin de Semana,Tribune Publishing,Los Angeles,CA,WKL,CAC,03/2013-AR,"813,550",
Hoy Los Angeles,Tribune Publishing,Los Angeles,CA,WKL,CAC,03/2013-AR,,"133,431"
Hudson Hub-Times,Dix Communications,Ravenna,OH,WKL,CAC,03/2012-AR,,"9,422"
Hudson Reporter Associates,Hudson Reporter Associates,Hoboken,NJ,WKL,CAC,06/2012-AR,,"80,958"
Hudson Sun,GateHouse Media,Hudson,MA,WKL,AAM,03/2013-AR,,"1,085"
Hunterdon County Democrat,Penn Jersey Advance,Flemington,NJ,CNW,AAM,06/2013-AR,,"20,088"
Huntsville Times,"Advance Publications, Inc.",Huntsville,AL,DLY,AAM,03/2013-AR,"63,175","1,166"
Huntsville Times-Yes! Your Essential Shopper,"Advance Publications, Inc.",Huntsville,AL,BE,AAM,Click Qtrly,,
Hutchinson Leader,Red Wing Publications,Hutchinson,MN,WKL,CAC,06/2012-AR,"17,385","5,064"
