Publication Name,Parent Company,City,State,Type,Audit Source,Report Date,Sun/Sat,Wkdy
Brookhaven Neighbor,"Neighbor Newspapers, Inc.",Marietta,GA,WKL,CAC,12/2012-AR,,"6,700"
Brookline Tab,GateHouse Media,Needham,MA,WKL,AAM,03/2014-AR,,"13,678"
Brooklyn Center,ECM-Sun Group LLC,Eden Prairie,MN,WKL,CAC,09/2012-AR,,"7,007"
Brooklyn Park,ECM-Sun Group LLC,Eden Prairie,MN,WKL,CAC,09/2012-AR,,"17,894"
Brownsville Herald,"Aim Media Texas, LLC",Brownsville,TX,CND,AAM,03/2013-AR,"17,600","15,594"
Brownsville Herald-El Extra,"Aim Media Texas, LLC",Brownsville,TX,BE,AAM,Click Qtrly,,
Brownsville Herald-El Nuevo Heraldo,"Aim Media Texas, LLC",Brownsville,TX,BE,AAM,Click Qtrly,,
Brownsville Herald-Super Sunday,"Aim Media Texas, LLC",Brownsville,TX,BE,AAM,Click Qtrly,,
Brunswick Sun,"Advance Publications, Inc.",Cleveland,OH,WKL,AAM,09/2013-AR,,"7,002"
Bryan Times,Bryan Publishing Company,Bryan,OH,CND,AAM,06/2012-AR,"9,444","8,775"
Bucks County Courier Times,Calkins Media,Bucks County (Levittown P.O.),PA,DLY,AAM,06/2013-AR,"47,010","37,643"
Buffalo News,The Buffalo News,Buffalo,NY,DLY,AAM,06/2013-AR,"219,540","160,674"
Bulletin,"Western Communications, Inc.",Bend,OR,DLY,AAM,12/2013-AR,"29,855","29,633"
Burlington County Times,Calkins Media,Burlington County (Willingboro P.O.),NJ,DLY,AAM,06/2012-AR,"29,975","25,400"
Burlington Free Press,Gannett Company Inc.,Burlington,VT,DLY,AAM,03/2013-AR,"36,528","29,059"
Burlington Union,GateHouse Media,Burlington,MA,WKL,AAM,03/2013-AR,,"1,931"
Burnaby/New Westminster NewsLeader,"Black Press Group, Ltd.",Burnaby,BC,WKL,AAM,12/2013-AR,,"45,423"
Business Press,Stephens Media Group,Las Vegas,NV,WKL,CAC,09/2013-AR,,"8,616"
Butler Eagle,Eagle Printing Company,Butler,PA,DLY,AAM,06/2013-AR,"27,066","25,060"
C&G Newspapers,C&G Publishing,Warren,MI,WKL,CAC,03/2013-AR,,"602,203"
Caledonia Argus,ECM Publishers Inc.,Caledonia,MN,WKL,CAC,12/2012-AR,,"3,737"
Caledonia Argus Shopper,ECM Publishers Inc.,Caledonia,MN,WKL,CAC,12/2012-AR,,"2,469"
Caledonian Record,"Caledonian-Record Publishing Co., Inc.",St. Johnsbury,VT,CND,AAM,03/2014-AR,,"10,064"
Caledonian Record-The Record,"Caledonian-Record Publishing Co., Inc.",St. Johnsbury,VT,BE,AAM,Click Qtrly,,
Calgary Herald,Postmedia Network Inc.,Calgary,AB,DLY,AAM,09/2012-AR,"122,698","130,922"
Call,The Call Inc.,Woonsocket,RI,CND,AAM,03/2013-AR,"8,306","5,939"
Calvert County Recorder,Southern Maryland Newspapers,Prince Frederick,MD,WKL,CAC,09/2013-AR,,"10,151"
Cambridge Chronicle & Tab,GateHouse Media,Needham,MA,WKL,AAM,03/2014-AR,,"10,544"
Cambridge Extra,Independent Newsmedia Inc USA,Dover,DE,WKL,CAC,12/2012-AR,,"4,500"
Cambridge Scotsman,ECM Publishers Inc.,Cambridge,MN,WKL,CAC,12/2012-AR,"51,023",
Campbell River Mirror,"Black Press Group, Ltd.",Campbell River,BC,WKL,AAM,03/2014-AR,,"15,529"
Canon City Daily Record,"MediaNews Group, Inc.",Canon City,CO,CND,AAM,09/2012-AR,,"5,315"
Canton Observer,Gannett Newspapers,Livonia,MI,WKL,CAC,03/2012-AR,"9,004","8,811"
Cape Cod Times Sunday Cape Cod Times,"Local Media Group, Inc.",Barnstable County (Hyannis P.O.),MA,DLY,AAM,12/2013-AR,"41,125","36,008"
Cape Codder,GateHouse Media,Orleans,MA,WKL,AAM,03/2013-AR,,"7,809"
Capital,"Capital-Gazette Communications, Inc.",Annapolis,MD,DLY,AAM,09/2012-AR,"37,933","33,995"
Capital Business,The Washington Post,Washington,DC,WKL,CAC,09/2013-AR,,"22,967"
Capital Gazette Sunday Choice,Landmark,Annapolis,DC,WKL,CAC,09/2013-AR,"9,470",
Capital Press,East Oregonian Media Group,Salem,OR,WKL,CAC,12/2012-AR,,"32,227"
Capital Style,Dispatch Printing Company,Columbus,OH,WKL,CAC,06/2013-AR,,"35,333"
Carlsbad Current-Argus,"MediaNews Group, Inc.",Carlsbad,NM,CND,AAM,06/2012-AR,"5,941","5,607"
Carroll County Times,Tribune Publishing Co.,Westminster,MD,CND,AAM,09/2013-AR,"23,912","22,171"
Carroll County Times Sunday Choice,Landmark,Annapolis,MD,WKL,CAC,09/2013-AR,"4,289",
Carver Reporter,Memorial Press Group Newspapers,Marshfield,MA,WKL,CAC,09/2013-AR,,"1,173"
Cary News,A Div. of the News and Observer Pub. Co.,Raleigh,NC,WKL,CAC,03/2012-AR,"53,233","48,369"
Casa Grande Dispatch,Casa Grande Valley Newspapers Inc.,Casa Grande,AZ,CND,AAM,12/2012-AR,"8,156","7,717"
Casper Star-Tribune,"Lee Enterprises, Incorporated",Casper,WY,DLY,AAM,09/2012-AR,"23,719","23,904"
Catamaran Media,Catamaran Media,Egg Harbor Twp,NJ,WKL,CAC,09/2013-AR,,"93,942"
Catonsville Times,Patuxent Publishing Company,Baltimore,MD,WKL,CAC,09/2013-AR,,"3,489"
CBA Distribution Network - Staten Island,CBA Industries,Staten Island,NY,WKL,CAC,09/2013-AR,"170,269",
CBA Distribution Network - Brooklyn,CBA Industries,Brooklyn,NY,WKL,CAC,09/2013-AR,"948,632",
CBA Distribution Network - New Jersey,CBA Industries,Edison,NJ,WKL,CAC,09/2013-AR,"952,067",
Central Kitsap Reporter,Sound Publishing,Silverdale,WA,WKL,CAC,03/2012-AR,,"17,642"
Central Westchester - Soundshore Express,Gannett Company Inc.,White Plains,NY,WKL,AAM,03/2014-AR,,"132,358"
Centre Daily Times,McClatchy Company,State College,PA,DLY,AAM,06/2013-AR,"23,853","18,948"
CEO Magazine,Dispatch Printing Company,Columbus,OH,WKL,CAC,06/2013-AR,,"23,417"
Chagrin Solon Sun,"Advance Publications, Inc.",Cleveland,OH,WKL,AAM,09/2012-AR,,"15,317"
Champion Newspapers,"Champion Newspapers, Inc.",Chino,CA,WKL,CAC,12/2013-AR,"42,566",
Champlin-Dayton Press,ECM Sun Group LLC,Osseo,MN,WKL,CAC,09/2012-AR,,"1,611"
Chariho Times,Southern Rhode Island Newspapers,Wakefield,RI,WKL,CAC,06/2013-AR,,728
Charleston Daily Mail,"Charleston Newspapers, Inc./ Daily Gazette Co.",Charleston,WV,DLY,AAM,09/2013-AR,,"17,157"
Charleston Gazette,"Charleston Newspapers, Inc./ Daily Gazette Co.",Charleston,WV,DLY,AAM,09/2013-AR,,"33,765"
Charlotte Observer,McClatchy Company,Charlotte,NC,DLY,AAM,12/2012-AR,"199,801","139,834"
Chattanooga Times Free Press,WEHCO Media Inc. Newspaper,Chattanooga,TN,DLY,AAM,06/2013-AR,"90,850","74,126"
Chelmsford Independent,GateHouse Media,Chelmsford,MA,WKL,AAM,03/2013-AR,,"2,355"
Chelsea Standard,Heritage Newspapers,Chelsea,MI,WKL,CAC,03/2014-AR,,"1,881"
Cherokee Tribune,Times-Journal Inc.,Canton,GA,CND,AAM,12/2012-AR,"4,757","4,462"
Cherokee Weekend,"Neighbor Newspapers, Inc.",Marietta,GA,WKL,CAC,03/2014-AR,"20,491",
CHICAGO SUN-TIMES.COM,"Wrapports, LLC",Chicago,IL,DLY,AAM,03/2013-AR,"407,361","451,864"
CHICAGO SUN-TIMES.COM-Antioch Preview,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"3,636"
CHICAGO SUN-TIMES.COM-Barrington Courier-Review,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"3,735"
CHICAGO SUN-TIMES.COM-Barrington Preview,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"1,153"
CHICAGO SUN-TIMES.COM-Buffalo Grove Countryside,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"3,012"
CHICAGO SUN-TIMES.COM-Chicago Heights Preview,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"6,556"
CHICAGO SUN-TIMES.COM-Chicago Reader,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"73,034"
CHICAGO SUN-TIMES.COM-Chicago Ridge And Worth Preview,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"1,439"
CHICAGO SUN-TIMES.COM-Crown Point Preview,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"3,013"
CHICAGO SUN-TIMES.COM-Crown Point Star,"Wrapports, LLC",Chicago,IL,BE,AAM,Click Qtrly,,
CHICAGO SUN-TIMES.COM-Deerfield Review,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"3,012"
CHICAGO SUN-TIMES.COM-Elmwood Park Elm Leaves,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"2,858"
CHICAGO SUN-TIMES.COM-Evanston Review,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"4,319"
CHICAGO SUN-TIMES.COM-Frankfort Mokena Preview,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"9,592"
CHICAGO SUN-TIMES.COM-Franklin Park Herald-Journal,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"2,352"
CHICAGO SUN-TIMES.COM-Glencoe News,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"1,277"
CHICAGO SUN-TIMES.COM-Glenview Announcements,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"4,537"
CHICAGO SUN-TIMES.COM-Highland Park Highwood Preview,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"9,411"
CHICAGO SUN-TIMES.COM-Highland Park News,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"3,860"
CHICAGO SUN-TIMES.COM-Hinsdale Preview,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,609
CHICAGO SUN-TIMES.COM-Homewood Flossmoor Preview,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"6,985"
CHICAGO SUN-TIMES.COM-Joliet Preview,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"1,930"
